mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R15,R17,R19,R20,R21,R22,R25,R27,R28,R30,R31,R33,R34,R36,R37
EN300-2009831_40426,-12.111317006007932,2.0,0.4961290926805557,,R1=[H].[H]O | R2=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H](O)[C@@H]6CCC[C@@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],,[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-321868_9483,-11.622332767905359,2.0,0.4723252264259403,,R1=[H].[H]O | R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R8=[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H]6CC[C@@H](O)[C@@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],[H].[H],[H],[H].[H],[H].[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-224808_5880,-11.169308540882225,2.0,0.45027190186070754,,R1=[H]C([H])[H].[H]C([H])[H] | R2=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC(C)(C)[C@H]6CCC[C@H]65)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H].[H]C([H])[H],[H].[H],,[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-321868_9484,-11.019108636303532,2.0,0.44296013562889447,,R1=[H].[H]O | R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R8=[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H]6CC[C@H](O)[C@@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],[H].[H],[H],[H].[H],[H].[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-23016456_41272,-10.958006581859573,2.0,0.43998567343046036,,R1=[H].[H]C([H])[H] | R2=[H].[H] | R3=[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R7=[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5[C@H](C)C[C@H]6CCC[C@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-2009831_40428,-10.825285945736907,2.0,0.43352480204583155,,R1=[H].[H]O | R2=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H](O)[C@H]6CCC[C@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],,[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-2009831_40427,-10.53509371233923,2.0,0.4193981767404217,,R1=[H].[H]O | R2=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H](O)[C@H]6CCC[C@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],,[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-321868_9485,-10.04237097643364,2.0,0.3954123195446637,,R1=[H].[H]O | R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R8=[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@H]6CC[C@@H](O)[C@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],[H].[H],[H],[H].[H],[H].[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN05441279_1888,-9.006312758941611,2.0,0.3449767649409547,,R1=[H]OC([H])[H] | R2=[H] | R3=[H].[H] | R4=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@]6(CO)CCC[C@H]56)cc4F)CC2)n3C)c(=O)c1,[H]OC([H])[H],[H],[H].[H],[H].[H],,[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-6474210_38324,-8.06771749788576,2.0,0.29928572968778455,,R1=[H].[H]O | R2=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H](O)[C@@H]6CCC[C@@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],,[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-1699270_11833,-6.863866253506078,2.0,0.24068197157308024,,R1=[H].[H]OC([H])[H] | R2=[H].[H] | R3=[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R7=[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5[C@H](CO)C[C@@H]6CCC[C@@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]OC([H])[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
