metric,value
n_molecules,2417.0
n_unique_mol_ids,2417.0
missing_score_pct,0.0
missing_interaction_count_pct,0.0
invalid_sdf_records,0.0
excluded_by_smiles_rules,0.0
exclude_patterns_loaded,0.0
exclude_pattern_parse_failures,0.0
matched_molecules,2417.0
unmatched_molecules,0.0
ext_rows,2820.0
ext_unique_ids,2820.0
ext_duplicate_ids,0.0
ext_matched_molecules,2417.0
report_pool_size,2417.0
excluded_molecular_weight,0.0
excluded_hbd,0.0
excluded_hba,0.0
excluded_rot_bonds,0.0
excluded_charged,0.0
excluded_any_rule,0.0
precluster_hbd_violations,0.0
report_hbd_violations,0.0
