mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R17,R19,R21,R22,R23,R24,R27,R29,R30,R32,R33,R35,R36,R38,R39
LN02166309_3370,-13.479351716017831,,0.9068133500652273,,R1=[H]O | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H]O | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccc(O)cc6[C@H](O)C5)cc4F)CC2)n3C)c(=O)c1,[H]O,[H],[H],,[H],,[H].[H]O,[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-22865908_44934,-13.163087081911975,,0.8683237605002697,,R1=[H].[H]C([H])[H] | R2=[H].[H] | R4=[H].[H] | R6=[H] | R7=[H] | R8=Br | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccc(Br)cc6[C@@H](C)C5)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],[H].[H],,[H].[H],,[H],[H],Br,[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-53097402_47218,-13.119100049676026,,0.8629705131423132,,R1=[H]OC([H])([H])C([H])[H] | R2=[H] | R3=[H] | R4=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(CCO)cccc6C5)cc4F)CC2)n3C)c(=O)c1,[H]OC([H])([H])C([H])[H],[H],[H],[H],,[H].[H],,[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-45749470_24084,-13.07717610293214,,0.8578683444863794,,R1=[H]C([H])[H].[H]C([H])[H] | R3=[H].[H] | R4=[H].[H] | R6=[H] | R7=[H]O | R8=[H] | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6cc(O)ccc6C5(C)C)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H].[H]C([H])[H],,[H].[H],[H].[H],,[H],[H]O,[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-27747388_26455,-13.037564434926102,,0.8530475814951386,,R1=C#N.[H] | R2=[H].[H] | R4=[H].[H] | R6=[H] | R7=[H] | R8=Br | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccc(Br)cc6[C@@H](C#N)C5)cc4F)CC2)n3C)c(=O)c1,C#N.[H],[H].[H],,[H].[H],,[H],[H],Br,[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-34777_4017,-13.001487849479847,,0.8486570401035687,,R1=[H]C([H])([H])O | R2=[H] | R3=[H] | R4=[H]C([H])([H])O | R7=[H].[H] | R9=[H].[H] | R10=[H].[H]O | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6c(OC)ccc(OC)c6[C@@H](O)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])([H])O,[H],[H],[H]C([H])([H])O,,,[H].[H],,[H].[H],[H].[H]O,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-46590287_32843,-12.972092298044126,,0.8450795844294771,,R1=[H].[H]C([H])[H] | R2=[H].[H] | R4=[H].[H] | R6=[H] | R7=Br | R8=[H] | R9=F | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6cc(Br)cc(F)c6[C@@H](C)C5)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],[H].[H],,[H].[H],,[H],Br,[H],F,,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-175145_4517,-12.94243118123408,,0.841469809295167,,R1=[H]C(C([H])([H])[H])C([H])([H])[H] | R2=[H] | R3=[H] | R4=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(cccc6C(C)C)C5)cc4F)CC2)n3C)c(=O)c1,[H]C(C([H])([H])[H])C([H])([H])[H],[H],[H],[H],,[H].[H],,[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-27102114_12863,-12.917929496508268,,0.8384879400406021,,R1=Cl | R2=[H] | R3=Br | R5=[H].[H] | R6=[H].[H] | R8=[H].[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(Br)cc(Cl)cc6C5)cc4F)CC2)n3C)c(=O)c1,Cl,[H],Br,,[H].[H],[H].[H],,[H].[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-6482831_14812,-12.851540098179036,,0.8304083117243316,,R1=[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])[H] | R2=[H] | R3=[H] | R5=[H].[H] | R7=[H].[H] | R8=[H].[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6cc(CCC(C)(C)O)ccc6C5)cc4F)CC2)n3C)c(=O)c1,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])[H],[H],[H],,[H].[H],,[H].[H],[H].[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN05456065_4775,-12.849305555715112,,0.8301363666093015,,R1=Cl | R2=[H]C([H])([H])O | R4=[H] | R6=[H].[H] | R7=[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(ccc(OC)c6Cl)C5)cc4F)CC2)n3C)c(=O)c1,Cl,[H]C([H])([H])O,,[H],,[H].[H],[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
